,Crp_Filepath,clutch,Day,egg_number,sex
0,Cropped_Egg_images/Clutch2_D14/IMG_0002.JPG,2,14,1,Female
1,Cropped_Egg_images/Clutch2_D14/IMG_0003.JPG,2,14,2,Male
2,Cropped_Egg_images/Clutch2_D14/IMG_0007.JPG,2,14,6,Female
3,Cropped_Egg_images/Clutch2_D14/IMG_0008.JPG,2,14,7,Female
4,Cropped_Egg_images/Clutch2_D14/IMG_0010.JPG,2,14,9,Male
5,Cropped_Egg_images/Clutch2_D14/IMG_0013.JPG,2,14,12,Male
6,Cropped_Egg_images/Clutch2_D14/IMG_0014.JPG,2,14,13,Female
7,Cropped_Egg_images/Clutch2_D14/IMG_0016.JPG,2,14,15,Female
8,Cropped_Egg_images/Clutch2_D14/IMG_0018.JPG,2,14,17,Female
9,Cropped_Egg_images/Clutch2_D14/IMG_0022.JPG,2,14,21,Female
10,Cropped_Egg_images/Clutch2_D14/IMG_0025.JPG,2,14,24,Female
11,Cropped_Egg_images/Clutch2_D14/IMG_0027.JPG,2,14,26,Male
12,Cropped_Egg_images/Clutch2_D14/IMG_0028.JPG,2,14,27,Male
13,Cropped_Egg_images/Clutch2_D14/IMG_0029.JPG,2,14,28,Male
14,Cropped_Egg_images/Clutch2_D14/IMG_0030.JPG,2,14,29,Female
15,Cropped_Egg_images/Clutch2_D14/IMG_0033.JPG,2,14,32,Male
16,Cropped_Egg_images/Clutch2_D14/IMG_0034.JPG,2,14,33,Female
17,Cropped_Egg_images/Clutch2_D14/IMG_0035.JPG,2,14,34,Female
18,Cropped_Egg_images/Clutch2_D14/IMG_0036.JPG,2,14,35,Female
19,Cropped_Egg_images/Clutch2_D14/IMG_0037.JPG,2,14,36,Male
20,Cropped_Egg_images/Clutch2_D14/IMG_0038.JPG,2,14,37,Male
21,Cropped_Egg_images/Clutch2_D14/IMG_0039.JPG,2,14,38,Female
22,Cropped_Egg_images/Clutch2_D14/IMG_0040.JPG,2,14,39,Male
23,Cropped_Egg_images/Clutch2_D14/IMG_0042.JPG,2,14,41,Male
24,Cropped_Egg_images/Clutch2_D14/IMG_0043.JPG,2,14,42,Male
25,Cropped_Egg_images/Clutch2_D14/IMG_0046.JPG,2,14,45,Female
26,Cropped_Egg_images/Clutch2_D14/IMG_0047.JPG,2,14,46,Male
27,Cropped_Egg_images/Clutch2_D14/IMG_0050.JPG,2,14,49,Male
28,Cropped_Egg_images/Clutch2_D14/IMG_0052.JPG,2,14,51,Female
29,Cropped_Egg_images/Clutch2_D14/IMG_0053.JPG,2,14,52,Female
30,Cropped_Egg_images/Clutch2_D14/IMG_0055.JPG,2,14,54,Male
31,Cropped_Egg_images/Clutch2_D14/IMG_0056.JPG,2,14,55,Female
32,Cropped_Egg_images/Clutch2_D14/IMG_0057.JPG,2,14,56,Female
33,Cropped_Egg_images/Clutch2_D14/IMG_0058.JPG,2,14,57,Female
34,Cropped_Egg_images/Clutch2_D14/IMG_0059.JPG,2,14,58,Male
35,Cropped_Egg_images/Clutch2_D14/IMG_0062.JPG,2,14,61,Male
36,Cropped_Egg_images/Clutch2_D14/IMG_0063.JPG,2,14,62,Female
37,Cropped_Egg_images/Clutch2_D14/IMG_0066.JPG,2,14,65,Male
38,Cropped_Egg_images/Clutch2_D14/IMG_0067.JPG,2,14,66,Male
